,0
356,32023D1548
357,32013L0058
358,31980R0653
359,32021R1924
360,32008R0182
361,32021D1454
362,32014D0145R(03)
363,32018D1993
364,31978D0670
365,32021L1159
366,32013R0923
367,32021R2048R(01)
368,32014D0750
369,31996R0723
370,32009D0908R(01)
371,32019R0888
372,21978D1230(07)
373,21995A0315(01)
374,32021L1206
375,02014R0807-20230101
376,32010R0701
377,32013L0059R(04)
378,32020Q1222(01)
379,22021D2212
380,31976H0492
381,32002L0035
382,31975Y0214(01)
383,32007D0330
384,31975R0711
385,31984D0351
386,22022D1499
387,32014R1255
388,32004L0023
389,32021D0989
390,32009L0074
391,32009R0874
392,32016D2369
393,32012R0823
394,32022L2523
395,32007R1243
396,32013R1042
397,32021R0662
398,02006R0952-20171001
399,32022D1245
400,31991L0672
401,32010R0248
402,32007D0169
403,32021R1165
404,32011R0031
405,31999D0405
406,32018R1101
407,32023R1332
408,22011D0091
409,32014L0046
410,32022R1961
411,32009R1007R(01)
412,32019R1792
413,22012A0426(01)
414,41980D0274
415,21996D0213(01)
416,32020D1193
417,32019R1084
418,02005D0872-20151127
419,02011R0090-20120101
420,32023D0331(01)
421,32015R1314
422,22015D1807
423,32004R0860
424,32013R1089
425,32019R2088R(07)
426,32020R2012
427,32021R1464
428,32021R1925
429,42010X0630(07)
430,32015R0781
431,32014R1347
432,42000X1230(01)
433,32010D0795
434,32003D0196
435,31989A0082
436,32006D0019(01)
437,02013R0185-20220718
438,32018R0728
439,31992R3311
440,32020R2197
441,32003R1949
442,32021D0482
443,31990R2723
444,32014R0193
445,32020R0427
446,32018R0407
447,22006D0646R(01)
448,32020D0399
449,31980R3512
450,32013L0011
451,32011D0157
452,32013R0035
453,32017D1215
454,32012D0114
455,02007R1394-20190726
456,32016R1842
457,31990D0668
458,32019R2014
459,32021R1061
460,22016D1285
461,32021D0506(01)
462,02003L0004-20030214
463,32013R0479
464,02021R2106-20211201
465,32020R0531
466,21997A0222(01)
467,31992R0284
468,32009R0179
469,32019R0107
470,32016R1735
471,32000L0079
472,32017D1855
473,22018D1988
474,32017R2401
475,32023R1203
476,32021R2248
477,32017R0585
478,32017D0939
479,21979A0412(05)
480,32020R0698
481,32023D0393
482,32023R0961
483,22021D1487
484,01978D0870-19810101
485,32014R1014R(03)
486,31999L0103
487,32020R0446
488,32001L0114
489,22014A0529(01)R(01)
490,32003R1216
491,31999D0226
492,32001R1461
493,32021D1364
494,32011R0537
495,31997F0661
496,32019L0997
497,32018D0945
498,32022D1949
499,32022R0695
500,31995R0656
501,32023R1033
502,32007R1454
503,31961D0408(01)
504,32014R0802
505,32021R0424
506,02011D0166-20140531
507,32022D2296
508,32016D0408
509,32015R0458
510,31998F0429
511,32019D0528
512,41996D0735
513,31977R1664
514,32013R0312
515,32020L0364
516,01995R3050-20020701
517,32014R0165R(04)
518,31988R3982
519,31995R3096
520,32005R0382R(03)
521,31975Y0709(03)
522,32023D1099
523,31982D0117
524,32009R0846
525,31979H0487
526,22015A1224(01)
527,32017D0197
528,32022R2303
529,32008R1234
530,32014R1014R(01)
531,32014R1333
532,32015D2363
533,32021D1345
534,32016R2096
535,32010R0395
536,32013D0257
537,31975H0366
538,31980D1282
539,32013R1422
540,32012D0830R(02)
541,32016D2079
542,32021R1153
543,32010R1058
544,32019L1153
545,32015R0340R(01)
546,32023D1061
547,32002L0055R(01)
548,02012A0921(02)-20221001
549,32002D0241
550,32020R0972
551,32004D0382R(01)
552,32015R0746
553,32010D0720
554,31980Y0819(03)
555,02001L0024-20140702
556,31991R3916
557,32022R0363
558,32020R0192
559,21998A0309(02)
560,32001L0024
561,32019R0444
562,32014D0755
563,31992Y0627(01)
564,31993D0015
565,32013D0123
566,32019R0162
567,32011H0921(01)
568,32020R1280
569,32021D1868
570,32021R0776R(01)
571,31989R0548
572,02006R1013-20210111
573,22002D0763
574,31985R3716
575,22009A0630(01)
576,32022L0284
577,32022O0971R(01)
578,31976R0300
579,32017R0896
580,32006D0688
581,32016D0630
582,32005R1286
583,01981R0139-20030414
584,32012R0972
585,32022D1007
586,21988A1130(05)
587,32023R0689
588,32017R0480
589,22020D0320
590,32014R0398
591,32008R1303
592,31996R1601
593,32010R0966
594,32012R1017
595,32017R2459
596,31999R1070
597,31990A0347
598,32020D2144
599,31982D0458
600,32020D1126
601,32019L2161
602,32022D0453
603,31993D0676
604,31995D0126
605,32011D0118
606,31991R3579
607,31976R1513R(01)
608,32015D2300
609,32015R2438
610,32008L0090
611,32017R1262
612,32009R0767R(07)
613,01993R0095-20221026
614,32009R1115
615,41976D0787
616,32016L1065
617,32023D0921
618,32019R1868
619,32015R1192
620,32012D0332
621,32014R0949
622,32021D0942
623,31989D0660
624,32015D1340
625,32023D0237
626,31982D0077
627,32015R0139
628,32022D1242
